parameterized-trigger	893.va_383a_9b_a_4c11	true	true
pipeline-aws	1.45	true	true
pipeline-build-step	599.v4b_67ea_11b_152	true	true
pipeline-github-lib	65.v203688e7727e	true	true
pipeline-graph-analysis	254.v0f63a_a_447dca_	true	true
pipeline-groovy-lib	798.v5cc688825312	true	true
pipeline-input-step	560.v56198a_642157	true	true
pipeline-maven	1735.v63b_5b_1b_d25d9	true	true
pipeline-maven-api	1735.v63b_5b_1b_d25d9	true	true
pipeline-milestone-step	152.v6e22b_8cfc66c	true	true
pipeline-model-api	2.2291.v2934911987b_6	true	true
pipeline-model-definition	2.2291.v2934911987b_6	true	true
pipeline-model-extensions	2.2291.v2934911987b_6	true	true
pipeline-rest-api	2.41	true	true
pipeline-stage-step	345.va_96187909426	true	true
pipeline-stage-tags-metadata	2.2291.v2934911987b_6	true	true
pipeline-stage-view	2.41	true	true
pipeline-utility-steps	3.810.va_7672d206740	true	true
plain-credentials	199.v9f8e1f741799	true	true
plugin-util-api	7.1341.v039f146993d9	true	true
prism-api	1.30.0-741.v034eb_0b_0a_a_fa_	true	true
publish-over	238.v1db_583004c9b_	true	true
publish-over-ssh	390.vb_f56e7405751	true	true
rebuild	338.va_0a_b_50e29397	true	true
resource-disposer	0.25	true	true
run-condition	276.v97298f3a_cd51	true	true
scm-api	728.vc30dcf7a_0df5	true	true
script-security	1402.1405.vc96e74964250	true	true
slack	795.v4b_9705b_e6d47	true	true
snakeyaml-api	2.5-149.v72471e9c6371	true	true
snakeyaml-engine-api	3.0.1-5.vd98ea_ff3b_92e	true	true
sonar	2.18.3	true	true
ssh-agent	405.v67cc4f9764d0	true	true
ssh-credentials	372.va_250881b_08cd	true	true
ssh-slaves	3.1097.v868116049892	true	true
structs	362.va_b_695ef4fdf9	true	true
throttle-concurrents	625.vc8b_e469e9a_b_c	true	true
timestamper	1.30	true	true
token-macro	477.vd4f0dc3cb_cf1	true	true
trilead-api	2.284.v1974ea_324382	true	true
variant	70.va_d9f17f859e0	true	true
warnings-ng	13.10153.v011f47a_3ef01	true	true
woodstox-core-api	7.2.1-6.v3718a_a_11f5c4	true	true
workflow-aggregator	608.v67378e9d3db_1	true	true
workflow-api	1413.v2ff1a_5e720fa_	true	true
workflow-basic-steps	1098.v808b_fd7f8cf4	true	true
workflow-cps	4357.vd3195c6b_d381	true	true
workflow-durable-task-step	1479.v56e587f413a_7	true	true
workflow-job	1590.v49101d088542	true	true
workflow-multibranch	841.vec5b_9e1806ec	true	true
workflow-scm-step	466.va_d69e602552b_	true	true
workflow-step-api	724.v538c2362b_dfb_	true	true
workflow-support	1015.v785e5a_b_b_8b_22	true	true
ws-cleanup	0.49	true	true
xunit	3.1.7	true	true
