build	label	sha	result	previous	previous-successful	payload
1	A	2a89cb54588f67fa8b29d98e88b43eb1c9b12d02	SUCCESS	-	-	A
2	B	ee2e8410ad4d2dc787bc256d3e9d784508a08537	FAILURE	2a89cb54588f67fa8b29d98e88b43eb1c9b12d02	2a89cb54588f67fa8b29d98e88b43eb1c9b12d02	B
3	C	19d8595d58deb010546852e60393860e4b0fb82a	SUCCESS	ee2e8410ad4d2dc787bc256d3e9d784508a08537	2a89cb54588f67fa8b29d98e88b43eb1c9b12d02	C
4	F	6db6d42e4cc1bd1e2a1fa40e7fc364c855f53aac	SUCCESS	-	-	F
5	G	a6db4856b8be1125b4e404cd7976c716d07325f3	SUCCESS	6db6d42e4cc1bd1e2a1fa40e7fc364c855f53aac	6db6d42e4cc1bd1e2a1fa40e7fc364c855f53aac	G
6	D	8d0de6673690925f2e0ab1ffe5f9938d0e0970df	SUCCESS	19d8595d58deb010546852e60393860e4b0fb82a	19d8595d58deb010546852e60393860e4b0fb82a	D
