file	verdict	code	stages	steps	detail
Ableton_python-pipeline-utils.Jenkinsfile	not-declarative	-	-	-	-
AmanPathak-DevOps_EKS-Terraform-GitHub-Actions.Jenkinsfile	ok	-	5	6	-
BBVA_mirrorgate.Jenkinsfile	not-declarative	-	-	-	-
Ben1980_jenkinsexample.Jenkinsfile	ok	-	4	6	-
Blazemeter_taurus.Jenkinsfile	ok	-	8	16	-
Chabane_mitosis-microservice-spark-cassandra.Jenkinsfile	not-declarative	-	-	-	-
DeekshithSN_Jenkinsfile.Jenkinsfile	ok	-	1	2	-
HariSekhon_DevOps-Bash-tools.Jenkinsfile	ok	-	3	11	-
HariSekhon_Jenkins.Jenkinsfile	err	no_stages	-	-	pipeline declares no stages @1:1
HariSekhon_Nagios-Plugins.Jenkinsfile	ok	-	3	11	-
HariSekhon_Templates.Jenkinsfile	not-declarative	-	-	-	-
Jotschi_maven-release-workflow-test.Jenkinsfile	not-declarative	-	-	-	-
MrRameshRajendran_Hybrid_MultiCloud_Overlay.Jenkinsfile	err	no_stages	-	-	pipeline declares no stages @1:1
ORCID_ORCID-Source.Jenkinsfile	not-declarative	-	-	-	-
Primus19_jenkins-pipeline-deploy-to-eks.Jenkinsfile	ok	-	2	9	-
Rapter1990_springbootmicroservicedailybuffer.Jenkinsfile	ok	-	1	19	-
RitheeshBaradwaj_JenkinsPipeline.Jenkinsfile	ok	-	6	16	-
Romeh_spring-boot-ignite.Jenkinsfile	ok	-	4	14	-
Romeh_spring-boot-sample-app.Jenkinsfile	ok	-	9	23	-
Statemood_jenkins-library.Jenkinsfile	not-declarative	-	-	-	-
SumanReddy568_Selenium-Python-Pytest-framework.Jenkinsfile	ok	-	4	7	-
SumitKr88_multiscanpipeline-jenkins-fastlane-ios.Jenkinsfile	ok	-	14	30	-
SumitM01_CI-CD-for-Docker-Kubernetes-using-Jenkins.Jenkinsfile	err	malformed_syntax	-	-	'options', 'parameters', 'post', 'stages', 'tools', 'triggers' or '}' @43:31
TTFHW_jenkins_pipeline_java_maven.Jenkinsfile	not-declarative	-	-	-	-
TTFHW_jenkins_pipeline_shell_scripts.Jenkinsfile	not-declarative	-	-	-	-
TechPrimers_jenkins-example.Jenkinsfile	ok	-	3	6	-
Terradue_DotNet4One.Jenkinsfile	ok	-	4	10	-
Terradue_DotNetOpenSearchClient.Jenkinsfile	ok	-	5	7	-
TomCzHen_jenkins-android-sample.Jenkinsfile	ok	-	6	18	-
Tynab_crm-project.Jenkinsfile	ok	-	4	11	-
VAD37_unity-jenkinsfile.Jenkinsfile	ok	-	5	19	-
adamrushuk_powershell-pipeline.Jenkinsfile	ok	-	1	1	-
ahmedmourshedi_Automation-Testing-of-ECommerce-WebsiteUsingSelenium.Jenkinsfile	not-declarative	-	-	-	-
aiwithqasim_Capstone-Project-Devops.Jenkinsfile	ok	-	4	4	-
alanmacgowan_WebApplication.Jenkinsfile	ok	-	12	19	-
alexguzun_jenkins-pipeline-gitflow-maven.Jenkinsfile	not-declarative	-	-	-	-
allcloud-io_jenkins-pipeline-tutorial.Jenkinsfile	ok	-	1	1	-
arun-gupta_docker-jenkins-pipeline.Jenkinsfile	not-declarative	-	-	-	-
aws-samples_ecs-bg-external-controller.Jenkinsfile	ok	-	12	3	-
awslabs_aws-codepipeline-plugin-for-jenkins.Jenkinsfile	not-declarative	-	-	-	-
bcgov_openshift-wiki.Jenkinsfile	not-declarative	-	-	-	-
beifei1_fire-cloud.Jenkinsfile	ok	-	4	6	-
bmustiata_jenny.Jenkinsfile	not-declarative	-	-	-	-
boozallen_devsecops-example-helloworld.Jenkinsfile	ok	-	10	10	-
bszeti_kubernetes-integration-test.Jenkinsfile	not-declarative	-	-	-	-
buildit_jenkins-pipeline-libraries.Jenkinsfile	ok	-	2	3	-
camiloribeiro_cdeasy.Jenkinsfile	not-declarative	-	-	-	-
captjt_jenkins-pipeline-express.Jenkinsfile	not-declarative	-	-	-	-
charlires_golang-docker-jenkins.Jenkinsfile	ok	-	3	6	-
choiis_Cpp-IOCP-Server.Jenkinsfile	ok	-	4	6	-
chrsoo_microservices.Jenkinsfile	not-declarative	-	-	-	-
cinqict_jenkinsdev.Jenkinsfile	ok	-	1	1	-
clintmod_unit-testing-jenkinsfile.Jenkinsfile	not-declarative	-	-	-	-
cloud-bulldozer_scale-ci-pipeline.Jenkinsfile	not-declarative	-	-	-	-
cloudogu_ces-build-lib.Jenkinsfile	not-declarative	-	-	-	-
cloudogu_continuous-delivery-slides.Jenkinsfile	not-declarative	-	-	-	-
cloudogu_gitops-build-lib.Jenkinsfile	not-declarative	-	-	-	-
cloudogu_gitops-playground.Jenkinsfile	ok	-	8	9	-
cloudogu_reveal.js-docker-example.Jenkinsfile	not-declarative	-	-	-	-
concur_jenkins-yml-workflowLibs.Jenkinsfile	not-declarative	-	-	-	-
cvitter_jenkins-pipeline-examples.Jenkinsfile	ok	-	1	1	-
darinpope_jenkinsfile-library.Jenkinsfile	not-declarative	-	-	-	-
devops-ws_learn-pipeline-java.Jenkinsfile	ok	-	3	6	-
eggsy84_gcp-spring-boot-app.Jenkinsfile	not-declarative	-	-	-	-
eldada_jenkins-pipeline-kubernetes.Jenkinsfile	ok	-	25	31	-
esign-consulting_logistics.Jenkinsfile	not-declarative	-	-	-	-
everflux_angular-jenkinsfile.Jenkinsfile	not-declarative	-	-	-	-
evry-ace_jenkins-ace-library.Jenkinsfile	not-declarative	-	-	-	-
executeautomation_JenkinsPipeline.Jenkinsfile	ok	-	7	6	-
