file	verdict	code	stages	steps	detail
fabric8io_fabric8-pipeline-library.Jenkinsfile	not-declarative	-	-	-	-
fabric8io_fabric8-platform.Jenkinsfile	not-declarative	-	-	-	-
fatimajamali81_jenkins-iis-cicd-pipeline.Jenkinsfile	ok	-	9	18	-
gdemengin_pipeline-logparser.Jenkinsfile	not-declarative	-	-	-	-
gfkse_jenkins-shared-library.Jenkinsfile	not-declarative	-	-	-	-
griddynamics-archive_mpl.Jenkinsfile	not-declarative	-	-	-	-
hakdogan_jenkins-pipeline.Jenkinsfile	not-declarative	-	-	-	-
hamitmizrak_Devops_Jenkinsfile.Jenkinsfile	ok	-	3	3	-
holdennguyen_cicd-pipeline-java-webapp.Jenkinsfile	ok	-	5	8	-
hungbang_spring-boot-aws-docdb-example.Jenkinsfile	ok	-	5	13	-
