file	verdict	code	stages	steps	detail
fabric8io_fabric8-pipeline-library.Jenkinsfile	scripted-ok	-	4	6	-
fabric8io_fabric8-platform.Jenkinsfile	scripted-ok	-	3	10	-
fatimajamali81_jenkins-iis-cicd-pipeline.Jenkinsfile	ok	-	9	18	-
gdemengin_pipeline-logparser.Jenkinsfile	scripted-err	malformed_syntax	-	-	'?', '?.', '?:', '[', 'instanceof', '{' or '||' @58:15
gfkse_jenkins-shared-library.Jenkinsfile	scripted-ok	-	2	2	-
griddynamics-archive_mpl.Jenkinsfile	scripted-ok	-	2	2	-
hakdogan_jenkins-pipeline.Jenkinsfile	scripted-ok	-	21	11	-
hamitmizrak_Devops_Jenkinsfile.Jenkinsfile	ok	-	3	3	-
holdennguyen_cicd-pipeline-java-webapp.Jenkinsfile	ok	-	5	8	-
hungbang_spring-boot-aws-docdb-example.Jenkinsfile	ok	-	5	13	-
ishrivatsa_terraform-vault-jenkins.Jenkinsfile	ok	-	3	13	-
j8kin_habr-jenkinsfile.Jenkinsfile	scripted-err	malformed_syntax	-	-	'?', '?.', '?:', '[', 'instanceof', '{' or '||' @75:30
jalogut_jenkinsfile-basic-sample.Jenkinsfile	scripted-err	malformed_syntax	-	-	'switch', 'throw', 'true', 'try', 'while', '{', '||' or '}' @1:6
jalogut_jenkinsfile-shared-library-sample.Jenkinsfile	scripted-ok	-	2	2	-
jenkins-infra_jenkins.io.Jenkinsfile	scripted-ok	-	8	18	-
jenkins-infra_pipeline-library.Jenkinsfile	ok	-	1	2	-
jenkins-infra_update-center2.Jenkinsfile	scripted-ok	-	2	10	-
jenkins-zh_jenkins-cli.Jenkinsfile	ok	-	6	0	-
jenkinsci_JenkinsPipelineUnit.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_amazon-ecs-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_artifact-promotion-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_badge-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_bitbucket-push-and-pull-request-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_ci.jenkins.io-runner.Jenkinsfile	scripted-ok	-	2	9	-
jenkinsci_code-coverage-api-plugin.Jenkinsfile	scripted-ok	-	3	2	-
jenkinsci_config-driven-pipeline-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_configuration-as-code-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_credentials-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_declarative-pipeline-migration-assistant-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_dependency-track-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_dingtalk-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_docker-agents.Jenkinsfile	scripted-err	malformed_syntax	-	-	'?', '?.', '?:', '[', 'instanceof', '{' or '||' @9:18
jenkinsci_docker-inbound-agent.Jenkinsfile	ok	-	1	0	-
jenkinsci_docker-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_docker-workflow-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_docker.Jenkinsfile	scripted-err	malformed_syntax	-	-	reserved @46:16
jenkinsci_gitea-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_github-branch-source-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_github-pr-comment-build-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_gitlab-branch-source-plugin.Jenkinsfile	scripted-ok	-	2	1	-
jenkinsci_groovy-sandbox.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_hashicorp-vault-pipeline-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_hashicorp-vault-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_http-request-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_hubot-steps-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_jacoco-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_jenkins-test-harness.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_jenkins.Jenkinsfile	scripted-err	malformed_syntax	-	-	'true', 'try', 'while', '{', '||' or '}' @62:28
jenkinsci_jenkinsfile-runner-test-framework.Jenkinsfile	scripted-ok	-	2	10	-
jenkinsci_jenkinsfile-runner.Jenkinsfile	scripted-err	malformed_syntax	-	-	'switch', 'throw', 'true', 'try', 'while' or '{' @16:1
jenkinsci_jira-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_jira-steps-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_jira-trigger-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_job-dsl-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_labelled-steps-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_multiple-scms-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_nested-data-reporting-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_opentelemetry-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_performance-plugin.Jenkinsfile	scripted-ok	-	3	9	-
jenkinsci_pipeline-as-yaml-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-aws-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-cloudwatch-logs-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-github-lib-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-githubnotify-step-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-gitstatuswrapper-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-graph-view-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-maven-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-model-definition-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-stage-view-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_pipeline-utility-steps-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_plot-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_plugin-installation-manager-tool.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_qy-wechat-notification-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_remote-file-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_remoting.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_role-strategy-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_simple-build-for-pipeline-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_ssh-steps-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_stashnotifier-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_subversion-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_swarm-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_tekton-client-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_warnings-ng-plugin.Jenkinsfile	scripted-ok	-	3	1	-
jenkinsci_webhook-step-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_workflow-basic-steps-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_workflow-job-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jenkinsci_workflow-multibranch-plugin.Jenkinsfile	scripted-ok	-	1	1	-
jerearista_python-jenkinsfile-testing.Jenkinsfile	ok	-	6	9	-
jjasghar_jenkinsfile_cookbook_pipeline.Jenkinsfile	ok	-	8	8	-
judexzhu_Jenkins-Pipeline-CI-CD-with-Helm-on-Kubernetes.Jenkinsfile	scripted-err	malformed_syntax	-	-	'?', '?.', '?:', '[', 'instanceof', '{' or '||' @10:13
