build         med50   med100   ms/stage  min-based  spread      n
76072354       1644     2395       15.0       12.6     16%     30
b5f9edf3       1613     2374       15.2       11.3     26%     30
de684547       1661     2254       11.9       11.0      7%     30
66904473       1715     2478       15.3       23.3     53%     30
16982e1a       1996     3246       25.0       24.6      2%     30
793b565e       2046     3198       23.0       23.5      2%     30
ac3e934e       2262     3350       21.8       19.0     13%     30
e60cde34       2235     3419       23.7       26.1     10%     30
