format	fogell-scm-execution-v2
case	checkout	scm	a0cc1278ee2e10f47150bbd7eef2d0f22fae5f40:65de82b3efbbb46642e173418abb3b0adf50f90f:c02e3343f32b4223bfb68c3b70075d5400be07fb	d1c995156bc73423f970cf93596a311e8930797a239cc00cb767959d9df4299e
attested	checkout	jenkins	executed	a0cc1278ee2e10f47150bbd7eef2d0f22fae5f40:65de82b3efbbb46642e173418abb3b0adf50f90f:c02e3343f32b4223bfb68c3b70075d5400be07fb
attested	checkout	fogell	preflight	a0cc1278ee2e10f47150bbd7eef2d0f22fae5f40:65de82b3efbbb46642e173418abb3b0adf50f90f:c02e3343f32b4223bfb68c3b70075d5400be07fb
case	unknown-policy-git	git	5dba3e2da2e7a2aa6628b9e0a8e3bb1637749ed5:95b911657c001cbd735bfbc0a283a1b32c854b06	70063e80f66163a3b3c5709ef190fe3d1511b43d3578674a1e6a1bb662d64ecd
attested	unknown-policy-git	jenkins	executed	5dba3e2da2e7a2aa6628b9e0a8e3bb1637749ed5:95b911657c001cbd735bfbc0a283a1b32c854b06
attested	unknown-policy-git	fogell	not-executed	5dba3e2da2e7a2aa6628b9e0a8e3bb1637749ed5:95b911657c001cbd735bfbc0a283a1b32c854b06
case	return-semantics-git	git	5dba3e2da2e7a2aa6628b9e0a8e3bb1637749ed5:95b911657c001cbd735bfbc0a283a1b32c854b06	eb2daecc8805fb6e3e26f8c4c2220ce7575e314500ccbd205d5980d37c1eafe9
attested	return-semantics-git	jenkins	executed	5dba3e2da2e7a2aa6628b9e0a8e3bb1637749ed5:95b911657c001cbd735bfbc0a283a1b32c854b06
attested	return-semantics-git	fogell	not-executed	5dba3e2da2e7a2aa6628b9e0a8e3bb1637749ed5:95b911657c001cbd735bfbc0a283a1b32c854b06
